Index,Long Name,Indicators Short Name,SDG
391,Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita,Fish and seafood consumption,14
392,Total greenhouse gas emissions per capita including land-use change and forestry,Greenhouse gas emissions inc land-use change and forestry,13
393,Survival to age 65: male (% of cohort),Survival Age Male,3
394,Share of the urban population using at least basic drinking water services,Urban population using at least basic drinking water services,6
395,Openness of executive recruitment,Openness Executive Recruitment,16
396,Theoretical duration of pre-primary education (years),Theoretical Duration Preprimary,4
397,A woman can register a business in the same way as a man (1=yes; 0=no),Woman Can Register a Business,5
398,Labor force: female (% of total labor force),Labor Force Female,5
399,Scientific and technical journal articles per million people,Scientific Research Papers,9
400,Agriculture: forestry: and fishing: value added (% of GDP),Agriculture forestry and fishing,14
401,Meat: chicken | 00001058 || Yield | 005424 || kilograms per animal,Meat - chicken yield,2
402,Alcohol: recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Spirits,Alcohol Consumption (Spirits),3
403,Millet yield,Millet Yield,2
404,Agriculture: forestry: and fishing: value added per worker (constant 2015 US$),Agriculture forestry and fishing per worker,14
405,Age of democracy (with women's suffrage),Age of Democracy,16
406,Equality of political power across social groups (best estimate: aggregate: average),Equality Political Power,16
407,Annual CO₂ emissions growth (%),Annual CO₂ emissions growth (%),13
408,Annual CO₂ emissions from coal (per capita),Annual CO₂ emissions from coal (per capita),13
409,Maize yield,Maize Yield,2
410,Death rate from alzheimer disease and other dementias among both sexes,Death Rate from Alzeimer and Dementia,3
411,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),Women can obtain divorce as men,5
412,Period life expectancy at birth - Sex: all - Age: 0,Period life expectancy at birth,3
413,Meat: kilograms per year per capita,Meat Kilograms per capita-year,2
414,Equality before the law and individual liberty index (best estimate),Equality Before The Law,5
415,Percent of HIV/AIDS deaths,HIV-AIDS deaths %,3
416,Share of deaths from terrorism,Share of deaths from terrorism,16
417,Deliberative political institutions index (best estimate),Deliberative Political Institutions,16
418,Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law Mandates Equal Remuneration,5
419,Oil electricity per capita - kWh,Oil Electricity Per Capita,7
420,Rate of Bladder cancer deaths,Bladder Cancer Deaths,3
421,Percent of Self-harm deaths,Percent Selfharm Deaths,3
422,Rate of Leukemia deaths,Leukemia Deaths,3
423,Rate of Cervical cancer deaths,Cervical Cancer Deaths,3
424,Death rate from cardiovascular diseases among both sexes,Cardiovascular Diseases Deaths,3
425,Egalitarian democracy index (best estimate: aggregate: average),Egalitarian Democracy,16
426,Permanent meadows and pastures | 00006655 || Share in Land area | 007209 || Percent,Permanent meadows and pastures,15
427,Death rate from protein-energy malnutrition among both sexes,Protein-energy malnutrition deaths,3
428,UHC Service Coverage Index (SDG 3.8.1),UHC Service Coverage,9
429,Wheat yield,Wheat yield,2
430,Military expenditure (% of GDP),Military expenditure (% of GDP),16
431,Methane emissions from agriculture,Methane emissions from agriculture,13
432,Per capita electricity - kWh,Per Capita Electricity,7
433,Mobile cellular subscriptions (per 100 people),Mobile Cellular Subscriptions,9
434, Labour share of GDP (%),Labour share of GDP,8
435,GDP per capita growth (annual %),GDP per capita growth,8
436,Fertility rate - Sex: all - Age: all - Variant: estimates,Fertility Rate,3
437,Percent of Multiple sclerosis deaths,Percent Multiple Sclerosis Deaths,3
438,Share of global annual CO₂ emissions,Share of global annual CO₂ emissions,13
439,Maternal mortality ratio,Maternal Mortality Ratio,3
440,Rate of Yellow fever deaths,Rate of Yellow fever deaths,3
441,Liberal democracy index (best estimate: aggregate: average),Liberal democracy index,16
442,Percent of Total Cancers excluding Non-melanoma skin cancer deaths,Total Cancers excluding Non-melanoma skin cancer deaths,3
443,Agricultural land | 00006610 || Area | 5110pc || hectares per capita,Agricultural land indicator,3
444,Hydro - % electricity,Hydro Electricity,7
445,Forest cover,Forest Cover,15
446,Political regime (inc. ambiguous categories),Political Regime (with ambiguities),16
447,Presidentialism index (best estimate: aggregate: average),Presidentialism Index,16
448,Death rate from road injury among both sexes,Death rate from road injury,3
449,Out-of-pocket expenditure (% of current health expenditure),Out-of-pocket expenditure,3
450,Age-standardized death rate from ischaemic heart disease among both sexes,Ischaemic heart disease deaths,3
451,Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2) - Sex: both sexes,Neonatal Mortality Rate,3
452,A woman can get a job in the same way as a man (1=yes; 0=no),Women Can Get a Job Equaly,5
453,Human Development Index,Human Development Index,17
454,Arable land (% of land area),Arable Land,2
455,Electoral democracy,Electoral democracy,16
456,Population density,Population Density,11
457,Current health expenditure per capita: PPP (current international $),"Current health expenditure per capita, PPP ",3
458,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),Value of Merchandise Exports,9
459,Political liberties,Political Liberties,16
460,Death rate from malaria among both sexes,Death rate from malaria,3
461,Fish and seafood | 00002960 || Production | 005511 || tonnes,Fish and seafood production,14
462,Government expenditure on education: total (% of government expenditure),Government Expenditure Education,4
463,Total deaths from fire: heat and hot substances among both sexes,Deaths from fire (heat and hot substances),3
464,Proportion of population without primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Lack of  clean fuels and technologies for cooking,7
465,Women's political participation index (best estimate: aggregate: average),Womens Political Participation,5
466,State capacity estimate,State Capacity Estimate,16
467,Rate of Chronic kidney disease deaths,Chronic Kidney Disease Deaths,3
468,Outsurvival statistic at birth,Outsurvival Statistic at Birth,3
469,Domestic general government health expenditure (% of GDP),Domestic general government health expenditure,3
470,Primary energy consumption per capita (kWh/person),Primary Energy Consumption,12
471,Average price on emissions covered by a carbon tax: weighted by the share of the country's CO₂ emissions,Average Price of Emissions (carbon tax),13
472,Maize yield split,Maize Yield Split,2
473,Survival to age 65: female (% of cohort),Women's Survival to 65 years,5
474,Rate of Drug use disorders deaths,Rate of Drug use disorders deaths,2
475,gov_transparency_lower,Government Transparency Lower,16
476,Women's political empowerment index (best estimate: aggregate: average),Womens Political Empowerment,5
477,Annual CO₂ emissions from oil (per capita),Annual CO₂ emissions from oil,13
478,Share of the population not using improved water sources,Population not using improved water sources,6
479,Under fifteen mortality - Unit of measure: Deaths per 100 live births - Indicator: Under-fifteen mortality rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Under Fifteen Mortality,3
480,Total | 00002901 || Food available for consumption | 0684pc || grams of fat per day per capita,Total Food Available for Consumption,2
481,fertilizer_quantity,Fertilizer Quantity,2
482,Pol3 (% of one-year-olds immunized),Pol3 %,3
483,Polio-free status,Poliofree Status,3
484,Completion rate: lower secondary education: both sexes (%): CR.2,Completion of lower secondary education,4
485,Civil society participation index (best estimate),Civil Society Participation,9
486,Annual CO₂ emissions from cement (per capita),Annual CO₂ emissions from cement,13
487,Nutrient nitrogen N (total) | 00003102 || Use per area of cropland | 005159 || Kilograms per hectare,Nutrient nitrogen N (total),7
488,Population - Sex: all - Age: all - Variant: estimates,Population Sex All,11
489,Prevalence of obesity among adults: BMI >= 30 (age-standardized estimate) (%) - Sex: female - Age group: 18+  years,Prevalence Obesity Among Adults,3
490,Rate of Stroke deaths,Rate Stroke Deaths,3
491,3.7.2 - Adolescent birth rate (per 1:000 women aged 15-19 and 10-14 years) - SP_DYN_ADKL - 15 to 19 years old,Adolescent Birth Rate,3
492,Death rate from fire: heat and hot substances among both sexes,Death rate from fire (heat and hot substances),3
493,Nitrous oxide emissions from agriculture,Nitrous Oxide Emissions,13
494,Fertility rate - Sex: all - Age: all - Variant: estimates UN,Fertility Rate (UN),3
495,Agricultural land (% of land area),Agricultural Land,2
496,Death rate from diabetes mellitus among both sexes,Death rate from diabetes mellitus,3
497,Observation value - Unit of measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Under-five mortality rate,3
498,Percent of Alcohol use disorders deaths,Alcohol use disorders deaths %,3
499,Private civil liberties index (best estimate: aggregate: average),Private Civil Liberties,16
500,Official entrance age to compulsory education (years),Official entrance age to compulsory education,4
501,Old-age dependency ratio - Sex: all - Variant: estimates,Old-age Dependency Ratio,3
502,Cigarette consumption per smoker per day (IHME: GHDx (2012)),Cigarette Consumption Per Capita,3
503,GDP per capita,GDP per capita,8
504,Fertilizer consumption (kilograms per hectare of arable land),Fertilizer Consumption,2
505,Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Reliance on clean fuels and technologies for cooking,7
506,Rate of Parkinson's disease deaths,Rate of Parkinsons Disease Deaths,3
507,Domestic private health expenditure per capita: PPP (current international $),Domestic Private Health Expenditure,3
508,Official entrance age to pre-primary education (years),Official entrance age to pre-primary education,4
509,Rice yield,Rice Yield,2
510,Annual CO₂ emissions per unit energy (kg per kilowatt-hour),CO₂ emissions per unit energy,13
511,Manufacturing: value added (% of GDP),Manufacturing Value Added,9
512,Rule of Law index (best estimate: aggregate: average),Rule of Law Index,16
513,Women's civil rights index (best estimate: aggregate: average),Womens Civil Rights,5
514,Death rate from lower respiratory infections among both sexes,Death from lower respiratory infections,3
515,Age of democracy (with women's suffrage) BMR,Age of democracy (with women's suffrage) BMR,5
516,Per capita nitrous oxide emissions from agriculture,Nitrous oxide emissions from agriculture,2
517,Prevalence of anemia among children (% of children ages 6-59 months),Prevalence Anemia Among Children,3
518,Rate of Road injuries deaths,Rate of Road injuries deaths,3
519,15.1.2 - Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_FRHWTR,Average Proportion of Freshwater,6
520,Percent of Exposure to forces of nature deaths,Percent of Exposure to forces of nature deaths,3
521,Individuals using the Internet (% of population),Individuals using the Internet ,9
522,Proportion of seats held by women in national parliaments (%),Seats held by women in national parliaments,5
523,Total | 00002901 || Food available for consumption | 0674pc || grams of protein per day per capita,Food available for consumption per capita,2
524,Percent of Diabetes mellitus deaths,Percent of Diabetes mellitus deaths,3
525,There is legislation specifically addressing domestic violence (1=yes; 0=no),Legislation Specific for Domestic Violence,5
526,Death rate from opioid use disorders among both sexes,Death rate from opioid use disorders,3
527,Regulation of political participation,Regulation of Political Participation,16
528,Death rate from amphetamine use disorders among both sexes,Death rate from amphetamine use disorders,3
529,Refugees by destination,Refugees by Destination,16
530,Rate of Police conflict and executions deaths,Rate of Police conflict and executions deaths,16
531,Political regime,Political Regime,16
532,Freedom of association thick index (best estimate),Freedom of Association Thick,16
533,Percent of Ovarian cancer deaths,Percent of Ovarian cancer deaths,3
534,machinery_per_ag_land,Machinery per ag land,9
535,Years colonized,Years Colonized,0
536,Top 1% - Share (Net national wealth) (Estimated),"Net national wealth, top 1%",8
537,Coal electricity per capita - kWh,Coal electricity per capita,7
538,2.2.2 - Proportion of children moderately or severely overweight (%) - SN_STA_OVWGT,Proportion Children moderately or severely overweight,3
539,15.5.1 - Red List Index - ER_RSK_LST,Red List Index,15
540,Access to justice for men (best estimate) (re-estimate),Access Justice For Men,16
541,Death rate from hiv/aids among both sexes,Death rate from hiv-aids,3
542,Cropland | 00006620 || Area | 005110 || hectares,Cropland indicator,2
543,Share of global methane emissions,Share of global methane emissions,13
544,Rate of Diarrheal diseases deaths,Rate of Diarrheal diseases deaths,3
545,Common good justifications (best estimate),Common Good Justifications,0
546,Share of global cumulative CO₂ emissions from flaring,Share of global CO₂ emissions from flaring,13
547,Domestic policymaking free from foreign influence (best estimate: aggregate: average),Domestic Policymaking Free from foreign influence,16
548,Share of global annual CO₂ emissions including land-use change,CO₂ emissions including land-use change,13
549,Percent of Yellow fever deaths,Percent of Yellow fever deaths,3
550,Rate of Other unintentional injuries deaths,Other unintentional injuries deaths,3
551,Share of global cumulative CO₂ emissions from coal,Cumulative CO₂ emissions from coal,13
552,Total polio cases per million,Total Polio Cases,3
553,Egalitarian political institutions index (best estimate),Egalitarian Political Institutions,16
554,Political rights rating,Political Rights Rating,16
555,Richest decile - Share (Pretax) (Estimated),Richest decile - Share (Pretax) ,1
556,Rural population (% of total population),Rural Population,11
557,Electoral democracy (best estimate) (re-estimate),Electoral democracy (re-estimate),16
558,DALYs from all causes: among both sexes per 100.000 people,Dalys From All Causes,0
559,Observation value - Unit of measure: Stillbirths per 100 births - Indicator: Stillbirth rate - Sex: Both sexes - Wealth quintile: All wealth quintiles,Stillbirth Rate,3
560,Prevalence of anemia among pregnant women (%),Anemia in pregnant women,3
561,Percent of Animal contact deaths,Animal contact deaths,3
562,Vaccination schedule for measles-containing-vaccine second-dose (MCV2) vaccine,Vaccination for measles second-dose (MCV2),3
563,"Share of population in poverty ($2.15 a day, 2017 prices) - Income or consumption consolidated",Population living in extreme poverty,1
564,Poverty headcount ratio at national poverty lines (% of population),Population living below national poverty lines,1
565,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - All age ranges or no breaks by age - All areas - Both sexes,Multidimensional poverty (national def),1
566,"1.3.1 - [ILO] Proportion of population covered by at least one social protection benefit, by sex (%) - SI_COV_BENFTS - Both sexes",Share of at least one social protection benefit,1
567,"1.a.1 - Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) - DC_ODA_POVLG",GNI from poverty reduction grants,1
568,2.1.1 Prevalence of undernourishment | 000000000024000 || Value | 006121 || percent,Population that is undernourished,2
569,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average) | 00210091 || Value | 006121 || percent,Population with moderate or severe food insecurity,2
570,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates - Sex: both sexes",Share of children who are stunted,2
571,"Prevalence of wasting, weight for height (% of children under 5)",Share of children who are wasted,2
572,"2.3.1 - Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2017 international $) - PD_AGR_SSFP - Both sexes",Productivity of small-scale food producers,2
573,"2.3.2 - Average income of small-scale food producers, PPP (constant 2017 international $) - SI_AGR_SSFP - Both sexes",Average income of small-scale food producers,2
574,2.5.1 - Plant genetic resources accessions stored ex situ (number) - ER_GRF_PLNTSTOR,Unique plant genetic samples in conservation,2
575,2.5.2 - Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk (%) - ER_RSK_LBREDS,Local livestock breeds at risk of extinction,2
576,"Agriculture, forestry, fishing (General Government) | 00023131 || Agriculture orientation index US$ | 006159 ||",Agriculture orientation index for gov spending,2
577,"2.a.2 - Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2022 United States dollars) - DC_TOF_AGRL",Total financial assistance and flows for agriculture,2
578,2.b.1 - Agricultural export subsidies (millions of current United States dollars) - AG_PRD_XSUBDY,Agricultural export subsidies,2
579,"2.c.1 - Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index - AG_FPA_CFPI",Indicator of food price anomalies,2
580,Maternal mortality ratio (per 100 000 live births),Maternal mortality ratio,3
581,Births attended by skilled health staff (% of total),Births attended by health staff,3
582,"Child mortality rate of children aged under five years, per 100 live births",Child mortality rate,3
583,"Neonatal mortality rate of babies aged less than 28 days, per 100 live birth",Neonatal mortality rate,3
584,Rate of new tuberculosis cases,Rate of new tuberculosis cases,3
585,"Incidence of malaria (per 1,000 population at risk)",Incidence of malaria,3
586,3.3.4 - Prevalence of hepatitis B surface antigen (HBsAg) (%) - SH_HAP_HBSAG,Children with an active hepatitis B infection,3
587,Reported number of people requiring interventions against NTDs,Deaths from non-communicable diseases,3
588,Death rate from self-harm among both sexes,Suicide rate,3
589,"3.5.1 - Alcohol use disorders, 12-month prevalence (%) - SH_SUD_ALCOL - Both sexes",Population with alcohol use disorders,3
590,"4.2.1 - Proportion of children aged 36_59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning (% of children aged 36-59 months) - SE_DEV_ONTRK - 36 to 59 months old - Both sexes",Proportion of children developmentally on track,4
591,Completion rate in primary education,Completion rate in primary education,4
592,"4.2.2 - Participation rate in organized learning (one year before the official primary entry age), by sex (%) - SE_PRE_PARTN - Both sexes","Net enrolment rate, pre-primary",4
593,"4.3.1 - Participation rate in formal and non-formal education and training, by sex (%) - SE_ADT_EDUCTRN - 15 to 64 years old - Both sexes",Participation in formal and non-formal education,4
594,"4.4.1 - Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%) - SE_ADT_ACTS - 25 to 74 years old - All areas - Both sexes - Creating electronic presentations with presentation software",ICT skills in using presentation software,4
595,"Completion rate in primary education, adjusted gender parity index (GPIA)",Completion rate in primary education,4
596,"Literacy rate, youth female (% of females ages 15-24)",Literacy rate of young women,4
597,"4.a.1 - Proportion of schools with access to electricity, by education level (%) - SE_ACS_ELECT - Primary",Schools access to electricity,4
598,"4.b.1 - Total official flows for scholarships, by recipient countries (millions of constant 2022 United States dollars) - DC_TOF_SCHIPSL",Overseas development assistance,4
599,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Pre-primary - Both sexes",Qualified teachers in pre-primary education,4
600,"5.2.1 - Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%) - VC_VAW_MARR - 15 years old and over",Women who experienced violence from partner,5
601,5.3.1 - Proportion of women aged 20-24 years who were married or in a union before age 15 (%) - SP_DYN_MRBF15,Women who were married by 15,5
602,"5.4.1 - Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%) - SL_DOM_TSPD - 15 years old and over - All areas - Female",Time women and men on unpaid domestic work,5
603,Lower chamber female legislators (central estimate),Share of women in parliament,5
604,"5.6.1 - Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) - SH_FPL_INFM",Women with informed decisions on sexual issues,5
605,"5.6.2 - Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education (%) - SH_LGR_ACSRHE",Access to sexual healthcare,5
606,Share of the population using safely managed drinking water services,Share using safely managed drinking water,6
607,6.3.1 - Proportion of safely treated domestic wastewater flows (%) - EN_WWT_WWDS,Domestic wastewater that is safely treated,6
608,6.3.2 - Proportion of bodies of water with good ambient water quality (%) - EN_H2O_WBAMBQ,Water bodies with good ambient water quality,6
609,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","Water productivity, GDP per m2 of freshwater withdrawal",6
610,6.4.2 - Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%) - ER_H2O_STRESS - No breakdown,Freshwater withdrawals from internal resources,6
611,6.5.1 - Degree of integrated water resources management implementation (%) - ER_H2O_IWRMD,Implementation of integrated water resource management,6
612,6.5.2 - Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%) - EG_TBA_H2CO,Transboundary water basins for water cooperation,6
613,"6.a.1 - Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2022 United States dollars) - DC_TOF_WASHL",Financial flows for water supply and sanitation,6
614,Access to electricity (% of population),Access to electricity (% of population),7
615,Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,Population with access to clean fuels for cooking,7
616,7.2.1 - Renewable energy share in the total final energy consumption (%) - EG_FEC_RNEW,Final energy use from renewable sources,7
617,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy intensity,7
618,"7.a.1 - International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2021 United States dollars) - EG_IFF_RANDN - All renewables",International finance received for clean energy,7
619,7.b.1 - Installed renewable electricity-generating capacity (watts per capita) - EG_EGY_RNEW - All renewables,Renewable electricity-generating capacity,7
620,GDP per capita growth (annual %),Growth of GDP per capita,8
621,8.2.1 - Annual growth rate of real GDP per employed person (%) - SL_EMP_PCAP,Growth of GDP per employed person,8
622,"8.3.1 - Proportion of informal employment, by sector and sex - 13th ICLS (%) - SL_ISV_IFEM - Non-agriculture - Both sexes",Workers informally employed in non-agricultural workplaces,8
623,"12.2.2 - Domestic material consumption per capita, by type of raw material (tonnes) - EN_MAT_DOMCMPC - Total or no breakdown",Domestic material consumption,8
624,Average hourly earnings of employees (constant 2011 PPP $),Average hourly earnings of employees,8
625,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Unemployment rate,8
626,"8.6.1 - Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%) - SL_TLF_NEET - Both sexes",Young people not in education or employment,8
627,"8.7.1 - Proportion of children engaged in economic activity, by sex and age (%) - SL_TLF_CHLDEA - 5 to 17 years old - Both sexes",Children engaged in labor,8
628,"8.8.1 - Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_FTLINJUR - No breakdown - Both sexes",Fatal occupational injury rates,8
629,8.8.2 - Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation - SL_LBR_NTLCPL,Level of national compliance with labor rights,8
630,"8.a.1 - Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2022 United States dollars) - DC_TOF_TRDCML",Flows commitments for aid for trade,8
631,"Railways, passengers carried (million passenger-km)",Passenger-kilometers by rail,9
632,"Manufacturing, value added (% of GDP)",Share of manufacturing in GDP,9
633,9.2.2 - Manufacturing employment as a proportion of total employment - 13th ICLS (%) - SL_TLF_MANF,Manufacturing jobs as a share employment,9
634,9.3.1 - Proportion of small-scale manufacturing industries in total manufacturing value added (%) - NV_IND_SSIS - Manufacturing,Small-scale manufacturing share,9
635,9.3.2 - Proportion of small-scale industries with a loan or line of credit (%) - FC_ACC_SSID,Small-scale industries with a loan,9
636,Research and development expenditure (% of GDP),Research expenditure (% of GDP),9
637,Researchers in R&D (per million people),Researchers in R&D,9
638,"9.a.1 - Total official flows for infrastructure, by recipient countries (millions of constant 2022 United States dollars) - DC_TOF_INFRAL",International financial support to infrastructure,9
639,9.b.1 - Proportion of medium and high-tech manufacturing value added in total value added (%) - NV_IND_TECH - Manufacturing,Medium and high-tech manufacturing,9
640,9.c.1 - Proportion of population covered by at least a 2G mobile network (%) - IT_MOB_2GNTWK,Share of population in range of mobile network,9
641,"16.b.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - No breakdown by disability - All grounds or no breakdown - All areas - Both sexes",Adults discriminated against,10
642,10.4.1 - Labour share of GDP (%) - SL_EMP_GTOTL,Labor share of GDP,10
643,Population,World Population,10
644,10.7.3 - Total deaths and disappearances recorded during migration (number) - SM_DTH_MIGR,Deaths and disappearances during migration,10
645,10.a.1 - Proportion of tariff lines applied to imports with zero-tariff (%) - TM_TRF_ZERO - Total or no breakdown,No tariff products from least-developed countries,10
646,10.c.1 - Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%) - SI_RMT_COST_SND,Remittance costs,10
647,11.1.1 - Proportion of urban population living in slums (%) - EN_LND_SLUM,Urban population living in slums,11
648,Proportion of population that has convenient access to public transport,Urban populations access to public transport,11
649,"11.4.1 - Total expenditure per capita spent on cultural and natural heritage, public and private (PPP, constant 2017 United States dollars) - GB_XPD_CULNAT_PBPV",Heritage spending per capita,11
650,11.5.2 - Direct economic loss attributed to disasters relative to GDP (%) - VC_DSR_LSGP,Direct economic loss from disasters,11
651,"11.6.1 - Municipal Solid Waste collection coverage, by cities (%) - EN_REF_WASCOL",Population served by municipal waste collection,11
652,Concentrations of fine particulate matter (PM2.5) - Residence area type: Total,Exposure to particulate matter air pollution,11
653,11.b.1 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR,Policies to reduce disaster risk,11
654,"13.1.1 - Number of deaths and missing persons attributed to disasters per 100,000 population (number) - VC_DSR_MTMP",Deaths and missing persons due to natural disasters,11
655,11.b.1 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR,Policies to reduce disaster risk,11
656,13.1.3 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS,Local governments with disaster risk reduction strategies,11
657,"12.2.2 - Domestic material consumption per capita, by type of raw material (tonnes) - EN_MAT_DOMCMPC - Total or no breakdown",Domestic material consumption per capita,12
658,"12.4.1 - Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals (%) - SG_HAZ_CMRBASEL",Required information submitted to ITAs,12
659,"12.4.2 - Hazardous waste generated, per capita (Kg) - EN_HAZ_PCAP",,12
660,12.5.1 - Municipal waste recycled (Tonnes) - EN_MWT_RCYV,Municipal waste recycled,12
661,"12.6.1 - Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number) - EN_SCP_FRMN - No breakdown",Companies publishing sustainability reports,12
662,7.b.1 - Installed renewable electricity-generating capacity (watts per capita) - EG_EGY_RNEW - All renewables,Renewable electricity-generating capacity,12
663,12.c.1 - Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%) - ER_FFS_CMPT_GDP,Explicit fossil fuel subsidies,12
664,total-ghg-emissions.csv,Greenhouse gas emissions,13
665,Annual CO_ emissions per GDP (kg per international-$),Carbon intensity: CO_ emissions per GDP,13
666,14.4.1 - Proportion of fish stocks within biologically sustainable levels (not overexploited) (%) - ER_H2O_FWTL,Sustainable fish stocks,14
667,Marine protected areas (% of territorial waters),Marine protected areas,14
668,14.7.1 - Sustainable fisheries as a proportion of GDP - EN_SCP_FSHGDP,Sustainable fisheries (%GDP),14
669,14.a.1 - National ocean science expenditure as a share of total research and development funding (%) - ER_RDE_OSEX,Ocean research funding,14
670,15.5.1 - Red List Index - ER_RSK_LST,Red List Index,15
671,Share of land covered by forest,Share of land covered by forest,15
672,Terrestrial protected areas (% of total land area),Terrestrial protected areas,15
673,15.2.1 - Annual forest area change rate (%) - AG_LND_FRSTCHG,Annual change in forest area,15
674,15.3.1 - Proportion of land that is degraded over total land area (%) - AG_LND_DGRD,Share of degraded land,15
675,15.4.1 - Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_MTN,Coverage of mountain key biodiversity,15
676,15.4.2 - Mountain Green Cover Index - ER_MTN_GRNCVI - Total - Mountain Green Cover Index (MGCI),Mountain Green Cover Index,15
677,"15.a.1 - Total official development assistance for biodiversity, by recipient countries (millions of constant 2022 United States dollars) - DC_ODA_BDVL",Donations for biodiversity conservation,15
678,"Homicide rate per 100,000 population - sex: Total - age: Total",Homicide rate,16
679,Deaths in ongoing conflicts (best estimate) - Conflict type: all,Deaths in armed conflicts,16
680,16.1.4 - Proportion of population that feel safe walking alone around the area they live after dark (%) - VC_SNS_WALN_DRK - Both sexes,Safe walking alone at night,16
681,16.2.1 - Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years) - VC_VAW_PHYPYV - 1 to 14 years old,Children who experienced violence,16
682,"16.2.2 - Detected victims of human trafficking, by age and sex (number) - VC_HTF_DETV - under 18 years old - Female",Human trafficking victims,16
683,"16.2.3 - Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29) - VC_VAW_SXVLN - 18 to 29 years old - Female",Young women experiencing sexual violence,16
684,"16.3.1 - Police reporting rate for robbery in the previous 12 months, by sex (%) - VC_PRR_ROBB - Both sexes",Victims reporting crime to the police,16
685,16.3.2 - Unsentenced detainees as a proportion of overall prison population (%) - VC_PRS_UNSNT - Both sexes,Unsentenced detainees,16
686,"16.4.2 - Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments - VC_ARM_SZTRACE",Weapons with illicit origin,16
687,Share of people who said they were recently asked for a bribe or paid one,Bribes in People,16
688,Share of firms that were asked to pay a bribe,Bribes in Firms,16
689,16.6.1 - Primary government expenditures as a proportion of original approved budget (%) - GF_XPD_GBPC,Primary government spending,16
690,Completeness of birth registration (%),Share of births registered,16
691,17.1.1 - Total government revenue as a proportion of GDP (%) - GR_G14_GDP,Government revenues as a share of GDP,17
